publicationNumber,applicationDate,publicationDate,priorityCountryRegion,supplementaryPriorityCountryRegion,numberOfInventors,IPC,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,legalStatusEvent,patentType
AU2020228629A1,2020/2/26,2021/9/2,US,US,4,C07C7/00 | C01B3/38 | C07C7/11 | C10G11/00,20,41,0,0,0,8,1,0,0,8,1,1,8,公开,发明申请
EP3097164B1,2014/5/1,2021/9/29,US,US,3,C09K8/516 | C09K8/52,9,11,6,0,2,9,9,0,0,9,9,1,9,授权,授权发明
EP3931171A1,2020/2/26,2022/1/5,US,US,4,C07C7/00 | C07C7/11 | C01B3/38 | C10G11/00,20,44,0,0,0,8,1,0,0,8,1,1,8,公开,发明申请
EP3931171A4,2020/2/26,2022/12/7,US,US,4,C07C7/00 | C07C7/11 | C01B3/38 | C10G11/00,20,44,2,0,1,8,1,0,0,8,1,1,8,公开,发明申请
CA2884209C,2013/8/28,2017/1/17,DE,DE,6,C07C1/20 | C07C6/04,16,27,1,0,0,13,1,0,0,13,1,1,13,未缴年费 | 权利转移,授权发明
AU2013311833A1,2013/8/28,2015/3/19,DE,DE,6,C07C1/20 | C07C6/04,15,26,1,0,0,13,1,0,0,13,1,1,13,权利终止 | 权利转移,发明申请
AU2013311833B2,2013/8/28,2017/6/29,DE,DE,6,C07C1/20 | C07C6/04,16,28,1,0,0,13,1,0,0,13,1,1,13,权利终止 | 权利转移,授权发明
CA2884209A1,2013/8/28,2014/3/13,DE,DE,6,C07C1/20 | C07C6/04,15,28,1,0,0,13,1,0,0,13,1,1,13,未缴年费 | 权利转移,发明申请
WO2019055670A1,2018/9/13,2019/3/21,US | US,US | US,1,E21B43/12 | E21B17/20 | F16L11/14,23,56,7,0,0,8,2,0,0,6,2,1,3,PCT进入指定国（指定期满）,发明申请
CA3075856A1,2018/9/13,2019/3/21,US | US,US | US,1,E21B43/12 | E21B17/20 | F16L11/14,23,55,0,0,0,8,2,0,0,6,2,1,3,实质审查,发明申请
WO2015105746A1,2015/1/5,2015/7/16,US,US,2,E21B43/16 | E21B43/22,34,27,5,6,0,3,9,3,3,3,9,1,3,PCT进入指定国（指定期满）,发明申请
WO2018193243A1,2018/4/18,2018/10/25,GB,GB,1,C22B1/244 | C22B1/245 | C21C5/52,14,14,8,5,0,15,6,2,5,15,6,1,15,PCT进入指定国（指定期满）,发明申请
AU2018254823A1,2018/4/18,2019/11/14,GB,GB,1,C22B1/244 | C21C5/52 | C22B1/245,14,11,0,0,0,15,6,0,0,15,6,1,15,授权,发明申请
CA3060868A1,2018/4/18,2018/10/25,GB,GB,1,C22B1/244 | C21C5/52 | C22B1/245,14,12,0,0,0,15,6,0,0,15,6,1,15,实质审查,发明申请
EP3612653A1,2018/4/18,2020/2/26,GB,GB,1,C22B1/244 | C22B1/245 | C21C5/52,14,14,0,0,0,15,6,0,0,15,6,1,15,实质审查,发明申请
WO2020176650A1,2020/2/26,2020/9/3,US,US,3,C01B3/38 | C01B3/50 | C07C29/151,20,43,5,5,0,2,5,0,0,2,5,4,2,PCT未进入指定国（指定期满）,发明申请
WO2020191117A1,2020/3/19,2020/9/24,US,US,3,C07C29/80 | C07C31/04 | C01B3/38,20,44,5,0,0,2,0,0,0,2,0,4,2,PCT未进入指定国（指定期满）,发明申请
AU2018254823B2,2018/4/18,2023/4/13,GB,GB,1,C22B1/244 | C21C5/52 | C22B1/245,12,13,5,0,0,15,6,0,0,15,6,1,15,授权,授权发明
EP2527586A1,2011/5/27,2012/11/28,-,EP,5,E21B36/00 | E21B43/26,14,8,29,19,0,1,19,7,16,1,19,1,1,撤回-视为撤回,发明申请
EP3377598B1,2016/11/18,2022/8/10,GB,GB,4,C10L3/10 | C10G70/06 | C07C7/11 | B01D3/40 | B01D53/14,15,37,6,0,49,5,2,0,0,5,2,2,5,授权,授权发明
WO2020161667A1,2020/2/6,2020/8/13,US,US,3,C01B3/38 | C07C29/151,20,43,8,0,0,7,0,0,0,7,0,1,7,PCT进入指定国（指定期满）,发明申请
CA3126791A1,2020/2/6,2020/8/13,US,US,3,C01B3/38 | C07C29/151,20,41,0,0,0,7,0,0,0,7,0,1,7,实质审查,发明申请
AU2020217991A1,2020/2/6,2021/9/2,US,US,3,C01B3/38 | C07C29/151,20,40,0,0,0,7,0,0,0,7,0,1,7,公开,发明申请
EP3921280A1,2020/2/6,2021/12/15,US,US,3,C01B3/38 | C07C29/151,20,43,0,0,0,7,0,0,0,7,0,1,7,实质审查,发明申请
WO2011002557A1,2010/5/13,2011/1/6,US,US,1,E21B43/24,22,24,8,2,0,3,9,2,2,3,9,2,3,PCT进入指定国（指定期满）,发明申请
EP2496669B1,2010/11/1,2017/12/20,US,US,1,C10G29/04 | C10L1/04 | C07C1/32 | B01J23/755,14,16,12,0,0,86,92,0,0,86,75,1,16,授权 | 权利转移,授权发明
EP2920275B1,2013/2/19,2018/7/4,US,US,1,C10G19/02 | B01J23/755 | C07C1/32 | C10G75/00 | C10G29/04 | C10G32/02 | C10G75/02,8,16,13,0,2,86,92,0,0,86,0,1,17,授权 | 权利转移,授权发明
CA2888108C,2013/2/19,2020/4/14,US,US,1,C10G19/02 | B01J23/755 | C07C1/32,9,27,0,0,0,86,92,0,0,86,0,1,17,授权 | 权利转移,授权发明
CA2788203A1,2012/8/30,2012/11/7,US | US,US | US,2,E21B43/24 | E21B43/30 | C10G21/00,48,112,0,2,0,17,293,0,0,13,6,2,1,未缴年费,发明申请
CA2788203C,2012/8/30,2012/11/7,US | US,US | US,2,E21B43/24 | E21B43/30 | C10G21/00,48,107,0,4,0,17,293,4,4,13,6,2,1,未缴年费,授权发明
WO2020176647A1,2020/2/26,2020/9/3,US,US,3,C07C29/76 | C07C2/76 | C07C31/04 | C01B3/38,20,44,5,1,0,2,1,1,1,2,1,4,2,PCT未进入指定国（指定期满）,发明申请
WO2020178802A1,2020/3/6,2020/9/10,US,US,3,C01B3/38 | C01B3/48 | C01B3/50 | C07C29/151,20,42,9,1,0,7,1,1,1,7,1,1,7,PCT进入指定国（指定期满）,发明申请
WO2021137172A1,2020/12/30,2021/7/8,EP,EP,3,C07C29/152 | C07C31/04,15,27,3,0,0,4,0,0,0,4,0,1,4,PCT进入指定国（指定期满）,发明申请
CA3127064A1,2020/3/6,2020/9/10,US,US,3,C01B3/38 | C01B3/48 | C01B3/50 | C07C29/151,20,40,0,0,0,7,1,0,0,7,1,1,7,公开,发明申请
AU2020232436A1,2020/3/6,2021/10/7,US,US,3,C01B3/38 | C01B3/48 | C01B3/50 | C07C29/151,20,39,0,0,0,7,1,0,0,7,1,1,7,公开,发明申请
EP3935012A1,2020/3/6,2022/1/12,US,US,3,C01B3/38 | C01B3/48 | C01B3/50 | C07C29/151,20,42,0,0,0,7,1,0,0,7,1,1,7,公开,发明申请
EP4085040A1,2020/12/30,2022/11/9,EP,EP,3,C07C29/152 | C07C31/04,15,27,0,0,0,4,0,0,0,4,0,1,4,公开,发明申请
WO2020159657A1,2019/12/31,2020/8/6,US,US,3,C07C29/151 | C07C31/04,20,42,5,2,0,2,2,2,2,2,2,4,2,PCT未进入指定国（指定期满）,发明申请
CA2981014A1,2017/9/29,2018/3/29,BR,BR,4,C10G1/02,14,20,0,0,0,5,2,0,0,5,2,1,5,权利终止,发明申请
WO2019090071A1,2018/11/2,2019/5/9,US,US,3,B01D53/64 | B01J20/02 | B01J20/06,37,22,6,3,1,13,3,3,3,13,3,1,13,PCT进入指定国（指定期满）,发明申请
CA3081437A1,2018/11/2,2019/5/9,US,US,3,B01D53/64 | B01J20/02 | B01J20/06,37,21,0,0,0,13,3,0,0,13,3,1,13,实质审查,发明申请
EP3703846A1,2018/11/2,2020/9/9,US,US,3,B01D53/64 | B01J20/02 | B01J20/06,37,22,0,0,0,13,3,0,0,13,3,1,13,公开,发明申请
EP3703846A4,2018/11/2,2021/8/18,US,US,3,B01D53/64 | B01J20/02 | B01J20/06,37,22,5,0,1,13,3,0,0,13,3,1,13,公开,发明申请
EP4136973A1,2013/10/4,2023/2/22,US | US | US,US | US | US,8,A01N25/22 | A01N37/16 | A01N59/00 | C02F1/72 | C11D3/39 | C02F103/00,14,80,34,0,14,53,138,0,0,106,0,1,1,公开,发明申请
WO2017030896A1,2016/8/11,2017/2/23,US,US,4,B01J20/02 | B01D53/46 | B01D53/64 | B01J8/00 | C02F1/28,124,41,7,8,1,23,13,7,8,23,13,1,23,PCT进入指定国（指定期满）,发明申请
CA2995456A1,2016/8/11,2017/2/23,US,US,4,B01J20/02 | B01D53/46 | B01D53/64 | B01J8/00 | C02F1/28,124,39,0,0,0,23,13,0,0,23,13,1,23,授权,发明申请
EP3334522A1,2016/8/11,2018/6/20,US,US,4,B01J20/02 | B01D53/46 | B01D53/64 | B01J8/00 | C02F1/28,124,1,0,0,0,23,13,0,0,23,13,1,23,授权,发明申请
EP3334522A4,2016/8/11,2019/7/31,US,US,4,B01J20/02 | B01D53/46 | B01D53/64 | B01J8/00 | C02F1/28,124,41,2,0,2,23,13,0,0,23,13,1,23,授权,发明申请
SG11201801102RA,2016/8/11,2018/3/28,US,US,4,B01J20/02,124,38,0,0,0,23,13,0,0,23,13,1,23,授权,发明申请
SG11201801102RB,2016/8/11,2023/7/6,US,US,4,B01J20/02,124,41,0,0,0,23,13,0,0,23,13,1,23,授权,授权发明
WO2015108874A1,2015/1/13,2015/7/23,US | US | US | US | US,US | US | US | US | US,6,C10G2/00 | C10L1/00,63,58,5,7,0,15,64,0,1,10,47,1,4,PCT未进入指定国（指定期满）,发明申请
AU2014298347A1,2014/6/17,2016/3/10,FR,FR,6,B01D53/34 | B01D53/64 | C10L3/10,14,27,1,0,0,8,18,0,0,7,18,1,7,授权,发明申请
AU2014298347B2,2014/6/17,2018/7/12,FR,FR,6,B01D53/34 | B01D53/64 | C10L3/10,14,28,1,0,0,8,18,0,0,7,18,1,7,授权,授权发明
WO2018152238A1,2018/2/14,2018/8/23,US,US,2,B01D53/00 | C01B32/50 | F25J3/00,79,66,5,0,0,3,1,0,0,3,1,3,3,PCT进入指定国（指定期满）,发明申请
WO2020157586A1,2020/1/2,2020/8/6,US,US,3,C01B3/38 | C10K3/02 | C07C27/06 | C07C41/01 | C07C41/09 | C07C51/12 | C07C53/08,20,44,7,0,0,7,0,0,0,7,0,1,7,PCT进入指定国（指定期满）,发明申请
CA3127023A1,2020/1/2,2020/8/6,US,US,3,C01B3/38 | C07C27/06 | C07C41/01 | C07C41/09 | C07C51/12 | C07C53/08 | C10K3/02,20,42,0,0,0,7,0,0,0,7,0,1,7,实质审查,发明申请
AU2020213968A1,2020/1/2,2021/8/26,US,US,3,C01B3/38 | C07C27/06 | C07C41/01 | C07C41/09 | C07C51/12 | C07C53/08 | C10K3/02,20,41,0,0,0,7,0,0,0,7,0,1,7,公开,发明申请
EP3917876A1,2020/1/2,2021/12/8,US,US,3,C01B3/38 | C10K3/02 | C07C27/06 | C07C41/01 | C07C41/09 | C07C51/12 | C07C53/08,20,44,0,0,0,7,0,0,0,7,0,1,7,实质审查,发明申请
WO2016037094A1,2015/9/4,2016/3/10,US,US,3,E21B43/16 | E21B43/22 | E21B43/26 | C09K8/58 | C09K8/60,50,38,5,11,0,3,19,3,6,3,19,3,3,PCT进入指定国（指定期满）,发明申请
AU2015403840B2,2015/12/29,2017/11/23,CN,CN,6,G01N25/00,6,23,1,0,0,3,57,0,0,3,57,1,3,权利终止,授权发明
AU2015403840A1,2015/12/29,2017/3/16,CN,CN,6,G01N25/00,6,21,1,1,0,3,57,0,1,3,57,1,3,权利终止,发明申请
WO2020029497A1,2018/12/12,2020/2/13,CN,CN,10,G01N33/24 | G01N15/08,10,19,9,34,0,3,45,33,34,3,45,1,3,PCT进入指定国（指定期满）,发明申请
ZA201903965B,2019/6/19,2021/2/24,CN,CN,10,G01N,10,19,0,0,0,3,45,0,0,3,45,1,3,授权,授权发明
ZA201903965A,2019/6/19,2019/6/26,CN,CN,10,G01N,10,19,0,0,0,3,45,0,0,3,45,1,3,授权,发明申请
WO2021167560A1,2020/12/14,2021/8/26,TR,TR,3,C10J3/00,8,21,4,0,0,2,0,0,0,2,0,1,2,PCT未进入指定国（指定期满）,发明申请
CA2890683A1,2013/10/24,2014/5/15,DE,DE,1,E21B36/04 | E21B43/24 | H01B7/30,8,18,0,0,0,8,10,0,0,8,10,1,8,未缴年费,发明申请
CA2890683C,2013/10/24,2017/1/3,DE,DE,1,E21B36/04 | E21B43/24 | H01B7/30,7,19,0,0,0,8,10,0,0,8,10,1,8,未缴年费,授权发明
WO2023199353A1,2023/4/11,2023/10/19,IN,IN,2,G01N15/08 | G01N7/04,10,31,2,0,0,2,0,0,0,2,0,1,2,PCT未进入指定国（指定期内）,发明申请
US9404361B2,2014/1/30,2016/8/2,US,US,2,G06G7/48 | E21B49/00 | E21B43/26,20,23,10,0,22,13,97,0,0,12,41,1,4,授权,授权发明
US2640019A,1948/6/1,1953/5/26,-,US,1,C10G1/00 | C10B1/00 | C10B1/04 | C10G1/02,6,11,13,19,0,1,19,6,8,1,19,1,1,期限届满,授权发明
US20140149098A1,2014/1/30,2014/5/29,US,US,2,E21B49/00,20,22,6,15,1,13,97,13,15,12,41,1,4,授权,发明申请
US20240042415A1,2023/7/28,2024/2/8,US | US,US | US,2,B01J20/22 | B01J20/30 | B01J20/34 | B01D53/02,38,16,0,0,0,3,0,0,0,1,0,1,1,实质审查,发明申请
US20180118584A1,2016/3/31,2018/5/3,EP,EP,1,C02F1/44 | C02F1/52 | B01D61/00 | B01D9/00,22,11,0,0,0,5,0,0,0,5,0,1,5,撤回-视为撤回,发明申请
US20160297727A1,2014/11/4,2016/10/13,EP,EP,1,C07C2/80 | H01M8/12 | H01M8/04089 | H01M8/0662 | H01M8/0637,16,13,3,5,0,12,10,2,3,12,10,1,12,授权,发明申请
US20190375695A1,2019/8/21,2019/12/12,EP | WO,EP | WO,1,C07C2/80 | H01M8/0637 | H01M8/0662 | H01M8/04089 | H01M8/12,11,13,0,0,0,12,10,0,0,12,10,1,12,授权,发明申请
US11078131B2,2019/8/21,2021/8/3,EP,EP,1,C07C2/80 | H01M8/0606 | H01M8/0612 | H01M8/0637 | H01M8/0662 | H01M8/04089 | C01B3/38 | H01M8/12 | H01M8/124,11,14,9,0,2,12,10,0,0,12,10,1,12,授权,授权发明
US8881807B1,2014/3/18,2014/11/11,-,US,2,E21B47/09 | E21B28/00,20,7,4,9,0,10,27,7,7,9,9,1,1,授权,授权发明
US4691773A,1985/7/26,1987/9/8,-,US,2,E21B43/243 | E21B43/16 | E21B43/24,15,8,15,22,0,2,22,0,0,2,22,1,2,未缴年费,授权发明
US20140183131A1,2012/7/20,2014/7/3,EP,EP,1,C02F9/00 | C02F1/06 | C02F1/16 | C02F1/26,41,8,0,2,0,8,8,0,2,8,8,1,8,撤回-视为撤回,发明申请
US20170336030A1,2015/11/10,2017/11/23,US,US,8,F17C11/00 | B01J20/22 | B01J20/28,29,13,12,6,0,6,10,0,0,6,10,1,6,未缴年费,发明申请
US10422480B2,2015/11/10,2019/9/24,US,US,8,F17C1/00 | B01J20/30 | B01J20/28 | B01J20/22 | F17C11/00 | F17C5/00,14,13,39,0,9,6,10,0,0,6,10,1,6,未缴年费,授权发明
US20150102224A1,2013/10/16,2015/4/16,-,US,1,G01N21/59 | G01N33/28 | G01N15/02,17,11,4,10,0,10,10,5,9,10,10,1,10,授权,发明申请
US9688920B2,2014/4/15,2017/6/27,US | US | US,US | US | US,4,C10G29/04 | C10G1/02 | C10G1/00 | C25C1/02 | C25B1/00,19,12,78,7,52,86,92,7,7,86,9,1,1,授权 | 许可 | 权利转移,授权发明
US20170044024A1,2015/4/22,2017/2/16,EP,EP,1,C02F1/22 | B01D9/00 | C02F1/26,23,14,0,2,0,3,2,0,1,3,2,1,3,撤回-视为撤回,发明申请
US9322779B2,2013/10/16,2016/4/26,-,US,1,G01N21/59 | G01N15/02 | G01N21/27 | G01N15/06 | G01N33/28 | G01N1/40 | G01N15/00,17,12,19,0,1,10,10,0,0,10,10,1,10,授权,授权发明
US20190169088A1,2017/8/15,2019/6/6,US,US,3,C07C2/76 | C04B35/56 | C04B35/58 | C10G11/00 | C10G35/02 | B01J19/02 | B01J19/24,25,22,0,2,0,21,33,2,2,18,9,1,7,授权,发明申请
US10577292B2,2017/8/15,2020/3/3,US,US,3,C07C4/04 | C04B35/56 | C04B35/58 | B01J6/00 | C10G9/26 | B01J8/04 | B01J8/06 | C10G11/00 | C10G35/02 | C07C5/02 | C07C1/24 | C10G9/00 | C07C2/76 | B01J19/02 | B01J19/24,20,21,4,0,2,21,33,0,0,18,9,1,7,授权,授权发明
US20210123874A1,2020/10/27,2021/4/29,US,US,9,G01N24/08 | G01V3/32 | G01R33/50,20,16,3,2,0,2,2,2,2,2,2,3,2,授权,发明申请
US20220082102A1,2021/11/3,2022/3/17,-,US,2,F04D13/08 | F04D29/046 | F04D29/60,66,20,0,0,0,51,60,0,0,42,60,1,42,实质审查,发明申请
US20220098501A1,2021/10/28,2022/3/31,-,US,2,C10G67/04 | C10G63/06 | C10L1/04 | C10G65/02 | C10C3/00 | C10J3/84,64,19,7,0,0,51,60,0,0,42,60,1,42,实质审查,发明申请
US11668664B2,2020/10/27,2023/6/6,US,US,9,G01N24/08 | G01R33/50 | G01V3/32,19,15,3,0,0,2,2,0,0,2,2,3,2,授权,授权发明
US20100276146A1,2010/4/20,2010/11/4,US,US,1,E21B43/241 | E21B43/16 | E21B43/24,31,9,12,20,0,8,28,7,12,6,28,1,6,未缴年费,发明申请
US8490696B2,2010/4/20,2013/7/23,US,US,1,E21B43/24 | E21B43/16,30,8,12,3,3,8,28,0,1,6,28,1,6,未缴年费,授权发明
US20180319673A1,2016/10/7,2018/11/8,EP,EP,1,C02F1/22 | C02F1/26 | C02F1/28 | C02F1/00 | C30B7/08 | C30B33/02,21,12,2,2,0,8,10,1,2,8,10,1,8,未缴年费,发明申请
US10501339B2,2016/10/7,2019/12/10,EP,EP,1,C02F1/22 | C30B29/54 | C02F1/00 | B01D9/00 | C02F1/26 | C30B7/08 | C30B33/02 | C02F1/28 | C02F1/52 | C02F101/12 | C02F101/30 | C02F103/06 | C02F103/08 | C02F103/10 | C02F103/16 | C02F103/34,31,13,5,0,6,8,10,0,0,8,10,1,8,未缴年费,授权发明
US9284236B2,2010/12/16,2016/3/15,GB,GB,1,C07C5/00 | C10L3/08 | C10L3/10 | B01J8/00,20,13,16,4,3,16,74,1,1,16,74,1,16,未缴年费,授权发明
US20130090505A1,2010/12/16,2013/4/11,GB,GB,1,C07C5/00 | B01J8/00,35,13,4,39,0,16,74,14,25,16,74,1,16,未缴年费,发明申请
US20160144335A1,2016/2/2,2016/5/26,GB | WO,GB | WO,1,B01J19/24 | F25J1/00 | C01B3/38 | C10L3/08 | C07C1/04,14,13,5,1,0,16,74,1,1,16,74,1,16,未缴年费,发明申请
US10010858B2,2016/2/2,2018/7/3,GB | WO,GB | WO,1,C10L3/08 | C07C1/04 | B01J19/24 | C01B3/38 | C07C5/00 | B01J8/00 | C10L3/10 | F25J1/00,14,13,18,0,3,16,74,0,0,16,74,1,16,未缴年费,授权发明
US20210188678A1,2020/12/17,2021/6/24,US,US,5,C02F9/00,20,32,3,0,0,2,0,0,0,1,0,1,1,撤回-视为撤回,发明申请
US20210285574A1,2019/7/23,2021/9/16,US,US,1,F16L5/10 | C08F10/02 | B29C33/42,14,11,0,0,0,2,1,0,0,2,1,1,2,实质审查 | 质押,发明申请
US20150158787A1,2014/11/17,2015/6/11,EP | US,EP | US,3,C07C2/58 | C07C2/84,24,10,3,4,0,3,4,3,4,29,4,1,2,授权,发明申请
US20140107233A1,2012/3/30,2014/4/17,GB,GB,1,C10G2/00,50,12,3,13,0,11,23,9,10,11,23,1,11,未缴年费,发明申请
US9150792B2,2012/3/30,2015/10/6,GB,GB,1,C10G2/00 | B01J19/24 | C01B3/38 | B01J12/00,20,12,9,0,1,11,23,0,0,11,23,1,11,未缴年费,授权发明
WO2019033472A1,2017/9/6,2019/2/21,CN,CN,4,G01N15/08,5,29,9,14,0,3,74,12,14,3,74,1,3,PCT进入指定国（指定期满）,发明申请
WO2022252591A1,2021/12/27,2022/12/8,CN,CN,8,E21B43/26 | E21B43/263 | E21B43/267,-,22,9,12,0,2,31,10,10,2,31,1,2,PCT未进入指定国（指定期满）,发明申请
WO2017221113A1,2017/6/14,2017/12/28,FR,FR,1,C01B3/36 | C01B3/38 | E21B43/00 | C01B3/34,-,28,4,4,2,3,7,0,4,3,7,1,3,PCT进入指定国（指定期满）,发明申请
EP3475219A1,2017/6/14,2019/5/1,FR,FR,1,C01B3/36 | C01B3/38 | E21B43/00 | C01B3/34,-,28,0,0,0,3,7,0,0,3,7,1,3,实质审查,发明申请
US61662292P0,2012/6/20,-,-,US,3,-,-,21,0,0,0,4,79,0,0,1,0,3,1,申请终止,发明申请
US61711610P0,2012/10/9,-,-,US,2,-,-,24,0,0,0,12,16,0,0,0,0,2,1,申请终止,发明申请
US62087058P0,2014/12/3,-,-,US,1,-,-,18,0,0,0,2,0,0,0,0,0,1,0,申请终止,发明申请
US20230138017A1,2021/11/2,2023/5/4,-,US,1,G06F30/20 | E21B49/08,15,19,0,2,0,1,2,0,0,1,2,1,1,实质审查,发明申请
US62144154P0,2015/4/7,-,-,US,2,-,-,13,0,0,0,3,12,0,0,1,0,1,1,申请终止,发明申请
US62923135P0,2019/10/18,-,-,US,2,-,-,39,0,0,0,2,0,0,0,0,0,1,1,申请终止,发明申请
US62752538P0,2018/10/30,-,-,US,1,-,-,62,0,0,0,4,1,0,0,4,1,1,4,申请终止,发明申请
US61293841P0,2010/1/11,-,-,US,1,-,-,79,0,0,0,2,125,0,0,1,0,1,1,申请终止,发明申请
US62545611P0,2017/8/15,-,-,US,4,-,-,44,0,0,0,6,1,0,0,6,1,1,6,申请终止,发明申请
US62290156P0,2016/2/2,-,-,US,1,-,-,27,0,0,0,3,1,0,0,3,1,1,3,申请终止,发明申请
US4928765A,1988/9/27,1990/5/29,-,US,1,E21B49/00 | E21B36/00 | E21B36/02 | E21B43/243 | E21B43/16,3,7,13,338,0,1,338,0,0,1,338,1,1,未缴年费,授权发明
US61343684P0,2010/5/3,-,-,US,3,-,-,11,0,0,0,3,6,0,0,3,6,3,3,申请终止,发明申请
US63042377P0,2020/6/22,-,-,US,2,-,-,39,0,0,0,2,0,0,0,1,0,2,1,申请终止,发明申请
US61571777P0,2011/4/22,-,-,US,2,-,-,9,0,0,0,19,19,0,0,0,0,2,0,申请终止,发明申请
US61483057P0,2011/5/5,-,-,US,2,-,-,21,0,0,0,19,19,0,0,0,0,2,1,申请终止,发明申请
US61483727P0,2011/5/8,-,-,US,2,-,-,22,0,0,0,19,19,0,0,0,0,2,1,申请终止,发明申请
US62011340P0,2014/6/12,-,-,US,1,-,-,33,0,0,0,3,25,0,0,3,25,1,3,申请终止,发明申请
US62040808P0,2014/8/22,-,-,US,3,-,-,31,0,0,0,4,26,0,0,4,26,3,4,申请终止,发明申请
US63367646P0,2022/7/5,-,-,US,4,-,-,3,0,0,0,2,0,0,0,1,0,1,1,申请终止,发明申请
US61744746P0,2012/10/3,-,-,US,2,-,-,40,0,0,0,3,40,0,0,1,0,2,1,申请终止,发明申请
US62059249P0,2014/10/3,-,-,US,1,-,-,30,0,0,0,24,17,0,0,23,9,1,12,申请终止,发明申请
US62293498P0,2016/2/10,-,-,US,3,-,-,37,0,0,0,8,23,0,0,8,23,3,8,申请终止,发明申请
US61327325P0,2010/4/23,-,-,US,1,-,-,25,0,0,0,2,33,0,0,2,33,1,2,申请终止,发明申请
US61788877P0,2013/3/15,-,-,US,2,-,-,12,0,0,0,3,14,0,0,1,0,2,1,申请终止,发明申请
US62134656P0,2015/3/18,-,-,US,3,-,-,28,0,0,0,2,2,0,0,1,0,3,1,申请终止,发明申请
US61907020P0,2013/11/21,-,-,US,2,-,-,24,0,0,0,5,10,0,0,5,10,1,5,申请终止,发明申请
US61228736P0,2009/7/27,-,-,US,4,-,-,15,0,0,0,12,101,0,0,1,0,4,1,申请终止,发明申请
US61413967P0,2010/11/15,-,-,US,4,-,-,22,0,0,0,2,25,0,0,0,0,4,1,申请终止,发明申请
US62423093P0,2016/11/16,-,-,US,1,-,-,9,0,0,0,2,0,0,0,0,0,1,1,申请终止,发明申请
US62847234P0,2019/5/13,-,-,US,2,-,-,36,0,0,0,5,2,0,0,1,0,2,1,申请终止,发明申请
US62826313P0,2019/3/29,-,-,US,2,-,-,30,0,0,0,5,2,0,0,1,0,2,1,申请终止,发明申请
US11249062B2,2020/9/30,2022/2/15,CN,CN,8,G01N33/24,6,11,7,0,4,2,4,0,0,2,4,1,2,授权,授权发明
EP3130834A1,2015/8/13,2017/2/15,-,EP,1,F17C11/00,15,17,32,1,13,1,1,0,0,1,1,1,1,驳回,发明申请
WO2016074918A1,2015/10/27,2016/5/19,US,US,7,F01N3/10 | F01N5/02 | H01L35/30 | F17C11/00 | F02M25/08 | B01D53/04 | H01L35/00,15,27,4,8,0,1,8,6,6,1,8,1,1,PCT未进入指定国（指定期满）,发明申请
EP3087418A1,2014/12/19,2016/11/2,NO,NO,2,G01V9/00 | E21B47/10 | G01N33/28,22,33,0,0,0,3,52,0,0,3,52,1,3,撤回-视为撤回,发明申请
WO2015074864A1,2014/11/4,2015/5/28,EP,EP,1,C07C2/80 | C01B3/38 | C07C2/76 | H01M8/06 | H01M8/04 | H01M8/12,16,30,4,0,1,12,10,0,0,12,10,1,12,PCT进入指定国（指定期满）,发明申请
WO2015097116A1,2014/12/19,2015/7/2,NO,NO,2,G01V9/00 | E21B47/10 | G01N33/28,22,33,8,52,0,3,52,8,26,3,52,1,3,PCT进入指定国（指定期满）,发明申请
CA1257537A,1985/10/1,1989/7/18,US | US,US | US,2,E21B43/243,20,8,0,0,0,2,22,0,0,2,22,1,2,期限届满,授权发明
EP2734476A2,2012/7/20,2014/5/28,EP,EP,1,C02F1/04 | C02F1/26,26,21,0,0,0,8,8,0,0,8,8,2,8,撤回-视为撤回,发明申请
WO2013011129A3,2012/7/20,2013/9/19,EP,EP,1,C02F1/04 | C02F1/26 | C02F1/20 | C02F1/12 | C02F1/16 | C02F1/28 | C02F101/32 | C02F101/34 | C02F103/36 | C02F103/10,26,7,7,0,1,8,8,0,0,8,8,2,8,PCT进入指定国（指定期满）,发明申请
WO2013011129A2,2012/7/20,2013/1/24,EP,EP,1,C02F1/04 | C02F1/26,26,21,7,4,2,8,8,3,3,8,8,2,8,PCT进入指定国（指定期满）,发明申请
CA2842372A1,2012/7/20,2013/1/24,EP,EP,1,C02F1/04 | C02F1/20 | C02F1/26 | C02F1/12 | C02F1/16 | C02F1/28,25,22,0,2,0,8,8,0,0,8,8,2,8,权利终止,发明申请
WO2019006045A1,2018/6/27,2019/1/3,US,US,4,B01D53/52 | B01D53/14 | B01D53/62 | B01D67/00 | B01D71/72,30,40,3,12,0,2,12,9,10,2,12,2,2,PCT未进入指定国（指定期满）,发明申请
SG11201909701PA,2018/4/18,2019/11/28,GB,GB,1,C21C5/52 | C22B1/244 | C22B1/245,9,18,0,0,0,15,6,0,0,15,6,1,15,授权,发明申请
SG11201909701PB,2018/4/18,2023/11/14,GB,GB,1,C21C5/52 | C22B1/244 | C22B1/245,9,18,0,0,0,15,6,0,0,15,6,1,15,授权,授权发明
